"Tract2010,N,9,0","Pop2010,N,9,0","Area_smi,N,13,11","Pop_psmi,N,13,11"
16500,5083,0.143014,35542
16400,3778,0.119325,31661.4
16300,4293,0.0949151,45229.9
16100,5366,0.142413,37679
16000,2465,0.0610864,40352.7
15900,4350,0.114034,38146.7
15700,7832,0.322947,24251.7
15600,2728,0.113302,24077.2
15500,3622,0.120687,30011.5
15400,5621,0.277898,20226.8
15300,2040,0.0902262,22609.8
15200,3934,0.107783,36499.4
15100,2493,0.067293,37046.9
13500,2556,0.0907922,28152.2
13400,3599,0.136728,26322.4
13300,4232,0.224413,18858.1
13200,4162,0.211044,19721
13000,4044,0.141332,28613.5
12800,4106,0.192189,21364.4
12700,3492,0.1741,20057.5
12100,3833,0.0476353,80465.5
12000,3833,0.0482476,79444.3
11800,1500,0.0218365,68692.5
11700,1783,0.214661,8306.14
11300,3143,0.0394921,79585.5
11200,3286,0.0684902,47977.6
11100,5164,0.0952177,54233.6
11000,4827,0.0926265,52112.5
10900,4320,0.0964197,44804.1
10800,4578,0.0872759,52454.3
10700,5592,0.0707117,79081.7
10600,3894,0.0722776,53875.6
980600,467,0.815018,572.993
980501,797,0.615684,1294.49
980200,320,0.394754,810.631
12502,3821,0.0236553,161528
12302,3073,0.0357664,85918.5
12301,2734,0.0355733,76855.3
980900,350,1.45157,241.117
10500,2685,0.264369,10156.2
10400,4545,0.129612,35066.2
10300,3852,0.103562,37195.1
10200,4143,0.200931,20619.1
10100,3739,0.296855,12595.4
980300,171,1.72457,99.1553
61400,5395,0.307978,17517.5
61500,11502,0.644592,17843.8
61200,4089,0.16716,24461.6
61100,4307,0.0925987,46512.5
47802,3656,0.131048,27898.1
47801,4005,0.183736,21797.6
42602,3243,0.128376,25261.8
42601,3687,0.113396,32514.3
33204,3821,0.144135,26509.8
33203,3472,0.169092,20533.2
32902,3831,0.194708,19675.7
32901,5021,0.259316,19362.5
32802,4047,0.249735,16205.2
32801,4238,0.226883,18679.2
32602,4316,0.181716,23751.3
32601,4416,0.161351,27368.9
31302,5495,0.264348,20787
31301,3826,0.174371,21941.8
31202,3137,0.119414,26269.9
31201,6167,0.197668,31198.7
25702,4665,0.205939,22652.4
25701,4788,0.241079,19860.7
22704,3122,0.210244,14849.4
20402,3997,0.2284,17500
20401,2846,0.126319,22530.2
17802,4516,0.196936,22931.3
17801,3499,0.0826347,42343
17102,3451,0.113843,30313.7
17101,3544,0.12098,29294.1
16802,3264,0.0832265,39218.3
16801,3218,0.0875737,36746.2
15802,2965,0.0659194,44979.2
15801,3594,0.132661,27091.6
13102,2625,0.091872,28572.4
13101,3811,0.0667758,57071.6
12902,3376,0.136097,24805.8
12901,2557,0.0699178,36571.5
12602,2909,0.240152,12113.1
12601,2329,0.0658914,35346
12501,5335,0.0523575,101896
12402,3974,0.138596,28673.3
12401,5075,0.0355042,142941
12202,2986,0.0358185,83364.8
12201,4567,0.0355347,128522
11902,2598,0.035923,72321.4
11901,2408,0.0240487,100130
23103,3725,0.484633,7686.22
23003,4093,0.158273,25860.3
61000,3610,0.833859,4329.27
60700,9083,0.791058,11482.1
60502,3216,0.105202,30569.9
60400,1689,1.84128,917.298
60100,3235,2.37034,1364.78
47901,6400,0.450355,14211
16200,2541,0.105351,24119.3
47702,3824,0.136192,28078
47902,3536,0.153545,23029.1
47600,5137,0.204872,25074.2
45200,6474,0.228192,28370.9
45100,4996,0.14836,33674.9
42800,2376,0.212878,11161.3
42700,5326,0.157532,33809
40200,5191,0.205514,25258.6
40100,4088,0.161993,25235.7
35400,6691,0.39931,16756.4
35300,7226,0.4352,16603.9
35201,5300,0.362452,14622.6
47701,4334,0.140413,30866
35100,7842,0.35743,21939.9
35202,4322,0.143793,30057.1
33100,3968,0.345558,11482.9
33000,7764,0.585154,13268.3
32700,6572,0.325839,20169.5
31400,6676,0.297491,22441
31100,6193,0.416054,14885.1
31000,3494,0.316586,11036.5
30900,6581,0.714859,9206.01
30800,5667,0.47928,11824
30700,6343,0.556121,11405.8
30600,2221,0.201273,11034.8
30500,3046,0.434256,7014.29
30400,5106,0.374245,13643.5
30302,3549,0.230327,15408.5
33201,3683,0.374991,9821.58
30301,5658,0.291013,19442.5
30202,4313,0.137163,31444.3
30102,4838,0.492548,9822.4
30101,4233,0.133608,31682.4
26404,2851,0.071359,39952.9
26403,4140,0.145349,28483.1
30201,3928,0.139005,28258.1
26401,4044,0.131658,30715.9
26303,4551,0.162395,28024.2
26302,4992,0.291177,17144.2
26402,4118,0.158235,26024.5
26200,7564,0.298524,25338
26100,6810,0.289964,23485.7
26003,4908,0.154191,31830.7
26301,4875,0.142065,34315.3
26004,4315,0.129692,33271
26001,5863,0.157234,37288.3
25900,4261,0.285456,14927
25800,1960,0.0932784,21012.4
25600,5618,0.21726,25858.4
25500,8471,0.41567,20379.2
25401,3404,0.145105,23458.9
26002,3544,0.13815,25653.3
25403,4267,0.200463,21285.7
25300,4362,0.148139,29445.3
25200,5369,0.253468,21182.1
25100,3077,0.214871,14320.2
23400,3660,0.329609,11104
23300,2624,0.245777,10676.3
23200,4582,0.329975,13885.9
25402,2912,0.115879,25129.6
23102,3478,0.193322,17990.7
22903,3384,0.119626,28288.1
22902,2617,0.0625359,41847.9
23001,5216,0.257177,20281.8
22802,2099,0.112292,18692.3
22803,4595,0.108896,42196.4
22901,4640,0.0962021,48231.8
22801,5078,0.223254,22745.3
22702,2060,0.109575,18800
22600,1534,0.509496,3010.82
21800,3840,0.193545,19840.3
21700,3948,0.474892,8313.46
21600,3836,0.230849,16616.9
21500,5096,0.190887,26696.4
21400,3264,0.136542,23904.6
21300,2474,0.120564,20520.3
21200,2779,0.133492,20817.8
21100,3853,0.163806,23521.7
21000,4196,0.120606,34791.1
20900,4372,0.120794,36193.9
20800,6577,0.133609,49225.5
20700,5171,0.134342,38491.4
20600,4711,0.21869,21541.9
20500,2583,0.106904,24161.8
20300,3034,0.110436,27473
20200,6269,0.130614,47996.3
18000,4221,0.361734,11668.8
17902,2880,0.987588,2916.2
17700,2128,0.348737,6102.02
20100,6172,0.17207,35869.1
17601,7630,0.243675,31312.3
17000,3689,0.181259,20352.1
16900,2924,0.113571,25745.9
16700,4652,0.18943,24557.9
16600,5069,0.132479,38262.8
