,id,X,Y
0,kare-ken-san-francisco,-122.4129486,37.7865601
1,farm-table-san-francisco,-122.414076908,37.7876476644
2,pearls-deluxe-burgers-san-francisco-3,-122.4136277,37.7877202
3,mortys-delicatessen-san-francisco,-122.4152222,37.7818794
4,saigon-sandwich-san-francisco,-122.417336798,37.7830597444
5,elmira-rosticceria-san-francisco,-122.4146576,37.7809486
6,sweet-woodruff-san-francisco,-122.413358018,37.7886664867
7,bite-san-francisco,-122.415666133,37.7884239641
8,dotties-true-blue-cafe-san-francisco,-122.40983963,37.781705043
9,brendas-french-soul-food-san-francisco,-122.419021,37.78286
10,de-afghanan-kabob-house-san-francisco-2,-122.420359,37.78577
11,fresh-brew-coffee-san-francisco,-122.411695048,37.7898513526
12,hopwater-distribution-san-francisco,-122.411338985,37.7899538529
13,tommys-joynt-san-francisco,-122.421806,37.785496
14,beanstalk-cafe-san-francisco-2,-122.409288436,37.79015176
15,box-kitchen-san-francisco,-122.406377481,37.7811688139
16,tony-baloneys-san-francisco,-122.4093552,37.7781868
17,super-duper-burgers-san-francisco-6,-122.40362227,37.7847915321
18,super-duper-burgers-san-francisco-3,-122.403905,37.786856
19,deli-board-san-francisco,-122.4070892,37.7776794
20,firefly-san-francisco,-122.438189,37.751206
21,pasta-gina-san-francisco,-122.4361191,37.7514114
22,diamond-cafe-san-francisco,-122.4361191,37.7514114
23,peasant-pies-san-francisco-3,-122.434401289,37.7513241023
24,subs-inc-san-francisco,-122.434278799,37.7511972339
25,griddle-fresh-san-francisco,-122.432183,37.751351
26,choice-yakiniku-san-francisco,-122.4398727,37.7448196
27,saru-sushi-bar-san-francisco,-122.4288283,37.751706
28,lovejoys-tea-room-san-francisco,-122.426895,37.749191
29,anchor-oyster-bar-san-francisco,-122.434720892,37.7595785362
30,fable-san-francisco,-122.434921,37.7600032
31,mama-jis-san-francisco-2,-122.438729189,37.7607584142
32,marcellos-pizza-san-francisco,-122.435379,37.7620506
33,noeteca-san-francisco,-122.424072,37.744537
34,frances-san-francisco,-122.432243,37.762768
35,tower-burger-san-francisco,-122.453438,37.743954
36,pops-sandwich-shop-san-francisco,-122.4534988,37.7438889
37,arizmendi-bakery-san-francisco-2,-122.4210748,37.7526584
38,rockys-fry-bread-san-francisco,-122.421532,37.755516
39,super-duper-burgers-san-francisco-4,-122.433698,37.7640087
40,crepe-and-brioche-san-francisco,-122.379454225,37.7256292105
41,san-panchos-tacos-san-francisco,-122.384425,37.7304167
42,l-artisan-gourmet-parisian-macarons-san-francisco,-122.38474,37.73148
43,tacos-rodriguez-san-francisco,-122.37912029,37.7376897633
44,speakeasy-ales-and-lagers-san-francisco,-122.3808975,37.7384872
