,business_id,categories,city,full_address,latitude,longitude,name,neighborhoods,open,photo_url,review_count,schools,stars,state,type,url
4,DARh6yjrGGVZ7R3Gdh4CMA,"[Food, Coffee & Tea]",Austin,"2803 San Jacinto Blvd
University of Texas
Austin, TX 78705",30.2904945,-97.7344962,JP's Java,[University of Texas],True,http://s3-media1.ak.yelpcdn.com/bphoto/7Iv_opbr0RfO_DB-QKoe0g/ms.jpg,85,[University of Texas - Austin],3.5,TX,business,http://www.yelp.com/biz/jps-java-austin
6,HIPGr2gSEN4T73tjz47hpw,"[Pubs, Bars, American (Traditional), Nightlife, Restaurants]",Princeton,"1 Palmer Sq E
Princeton, NJ 08542",40.3497226,-74.6608591,Winberie's Restaurant & Bar,[],True,http://s3-media1.ak.yelpcdn.com/bphoto/8yGJtkNAqqfG00bInsHFNA/ms.jpg,77,[Princeton University],3.5,NJ,business,http://www.yelp.com/biz/winberies-restaurant-and-bar-princeton
7,A_Fm4v2-gQuGBBI-GBx4Uw,"[Pizza, Restaurants]",Cohoes,"16 Division St
Cohoes, NY 12047",42.7808878,-73.7102039,Joe's Tavern,[],True,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,2,[Rensselaer Polytechnic Institute],4.0,NY,business,http://www.yelp.com/biz/joes-tavern-cohoes
8,-ilTnXu41RrxQITuolQhmQ,"[Food, Coffee & Tea]",Philadelphia,"3218 Market St
University City
Philadelphia, PA 19104",39.9552997,-75.1871563,Starbucks,[University City],True,http://s3-media1.ak.yelpcdn.com/bphoto/F6nhU8jSBLh3XEbMYphpmA/ms.jpg,4,[University of Pennsylvania],3.0,PA,business,http://www.yelp.com/biz/starbucks-philadelphia-8
9,L5ABFgTmN-T-uZjuGpoi3Q,"[Food, Specialty Food, Health Markets]",Houston,"5829 Kirby Dr
West University
Houston, TX 77005",29.719274,-95.41811,Vitamin Shoppe,[West University],True,http://s3-media3.ak.yelpcdn.com/bphoto/ByAD70NTByglzKh9Gny5Og/ms.jpg,2,[Rice University],5.0,TX,business,http://www.yelp.com/biz/vitamin-shoppe-houston-3
14,EjgQxDOUS-GFLsNxoEFJJg,"[Cheesesteaks, Sandwiches, Restaurants]",Philadelphia,"Liberty Place
1625 Chestnut St
Mantua
Philadelphia, PA 19103",39.96244,-75.19993,Rick's Steaks,[Mantua],True,http://s3-media4.ak.yelpcdn.com/bphoto/SxGxfJGy9pXRgCNHTRDeBA/ms.jpg,43,[University of Pennsylvania],3.5,PA,business,http://www.yelp.com/biz/ricks-steaks-philadelphia
17,8q_fyg8fkMeVx69jDhJ7jw,"[Sandwiches, Restaurants]",Houston,"2401 W Holcombe Blvd
West University
Houston, TX 77246",29.7061077,-95.4147852,Jimmy John's,"[West University, Braeswood Place]",True,http://s3-media3.ak.yelpcdn.com/bphoto/SzzogZPKlX0mc2N4Ss8uNg/ms.jpg,23,[Rice University],4.0,TX,business,http://www.yelp.com/biz/jimmy-johns-houston-3
18,iT581VVVGgpik06KplZOuQ,"[Barbeque, Restaurants]",Lafayette,"3305 South St
Lafayette, IN 47904",40.416886,-86.8595799,South Street Smoke House,[],True,http://s3-media3.ak.yelpcdn.com/bphoto/94EI9Dx5dV8219t9IwPb3Q/ms.jpg,50,[Purdue University],4.0,IN,business,http://www.yelp.com/biz/south-street-smoke-house-lafayette
20,UR9H6ZcjMjGhJmmITypI2A,"[Wine Bars, Bars, Italian, Nightlife, Restaurants]",San Luis Obispo,"1040 Broad Street
San Luis Obispo, CA 93401",35.2792631,-120.664846,Grappolo,[],False,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,8,[California Polytechnic State University],3.5,CA,business,http://www.yelp.com/biz/grappolo-san-luis-obispo
21,CyUfjTpoIgNghGlqfz9aEw,"[Mexican, Restaurants]",Los Angeles,"701 E Jefferson Blvd
South East LA
Los Angeles, CA 90011",34.015521,-118.26453,El Gallo Giro,[South East LA],True,http://s3-media1.ak.yelpcdn.com/bphoto/1uNp7G6zNhjdjJ1R_9XCmg/ms.jpg,3,[University of Southern California],4.0,CA,business,http://www.yelp.com/biz/el-gallo-giro-los-angeles-2
