,id,Tract,PopDensity(sqmi)
0,kare-ken-san-francisco,12302.0,85918.5
1,mangos-cafe-san-francisco,12302.0,85918.5
2,farm-table-san-francisco,12100.0,80465.5
3,pearls-deluxe-burgers-san-francisco-3,12100.0,80465.5
4,sweet-woodruff-san-francisco,12100.0,80465.5
5,beanstalk-cafe-san-francisco-2,12100.0,80465.5
6,mortys-delicatessen-san-francisco,12401.0,142941.0
7,saigon-sandwich-san-francisco,12401.0,142941.0
8,elmira-rosticceria-san-francisco,12402.0,28673.3
9,brendas-french-soul-food-san-francisco,12402.0,28673.3
10,the-chairman-truck-san-francisco,12402.0,28673.3
11,bite-san-francisco,12000.0,79444.3
12,crepes-ooh-la-la-san-francisco-2,12000.0,79444.3
13,dotties-true-blue-cafe-san-francisco,17601.0,31312.3
14,box-kitchen-san-francisco,17601.0,31312.3
15,tony-baloneys-san-francisco,17601.0,31312.3
16,little-griddle-san-francisco,17601.0,31312.3
17,tempest-san-francisco,17601.0,31312.3
18,de-afghanan-kabob-house-san-francisco-2,12202.0,83364.8
19,fresh-brew-coffee-san-francisco,11902.0,72321.4
20,hopwater-distribution-san-francisco,11902.0,72321.4
21,tommys-joynt-san-francisco,15100.0,37046.9
22,red-door-cafe-san-francisco-3,15100.0,37046.9
23,super-duper-burgers-san-francisco-6,61500.0,17843.8
24,super-duper-burgers-san-francisco-3,61500.0,17843.8
25,cafe-algiers-san-francisco,61500.0,17843.8
26,the-sentinel-san-francisco,61500.0,17843.8
27,eden-plaza-cafe-san-francisco,61500.0,17843.8
28,the-american-grilled-cheese-kitchen-san-francisco,61500.0,17843.8
29,creperie-saint-germain-san-francisco-12,61500.0,17843.8
30,garaje-san-francisco,61500.0,17843.8
31,cafe-du-soleil-san-francisco-4,61500.0,17843.8
32,crossroads-cafe-san-francisco-7,61500.0,17843.8
33,hrd-coffee-shop-san-francisco-2,61500.0,17843.8
34,señor-sisig-san-francisco-3,61500.0,17843.8
35,freshroll-vietnamese-rolls-and-bowls-san-francisco,61500.0,17843.8
36,the-pink-elephant-san-francisco-3,61500.0,17843.8
37,ayola-san-francisco,61500.0,17843.8
38,deli-board-san-francisco,17802.0,22931.3
39,azucar-lounge-san-francisco-4,17802.0,22931.3
40,citizens-band-san-francisco,17802.0,22931.3
41,ak-subs-san-francisco,17802.0,22931.3
42,firefly-san-francisco,21200.0,20817.8
43,pasta-gina-san-francisco,21200.0,20817.8
44,diamond-cafe-san-francisco,21200.0,20817.8
45,holy-kitchen-san-francisco,21200.0,20817.8
46,peasant-pies-san-francisco-3,21300.0,20520.3
47,subs-inc-san-francisco,21300.0,20520.3
48,lupa-trattoria-san-francisco,21300.0,20520.3
49,the-little-chihuahua-san-francisco-3,21300.0,20520.3
50,griddle-fresh-san-francisco,21400.0,23904.6
51,lovejoys-tea-room-san-francisco,21400.0,23904.6
52,choice-yakiniku-san-francisco,21600.0,16616.9
53,saru-sushi-bar-san-francisco,21100.0,23521.7
54,anchor-oyster-bar-san-francisco,20600.0,21541.9
55,fable-san-francisco,20600.0,21541.9
56,mama-jis-san-francisco-2,20500.0,24161.8
57,marcellos-pizza-san-francisco,20500.0,24161.8
58,castro-tarts-san-francisco,20500.0,24161.8
59,noeteca-san-francisco,21500.0,26696.4
60,tataki-south-san-francisco,21500.0,26696.4
61,frances-san-francisco,20300.0,27473.0
62,super-duper-burgers-san-francisco-4,20300.0,27473.0
63,dinosaurs-san-francisco,20300.0,27473.0
64,kitchen-story-san-francisco,20300.0,27473.0
65,eiji-san-francisco,20300.0,27473.0
66,ikes-place-san-francisco,20300.0,27473.0
67,thorough-bread-and-pastry-san-francisco,20300.0,27473.0
68,chow-san-francisco,20300.0,27473.0
69,tower-burger-san-francisco,30600.0,11034.8
70,pops-sandwich-shop-san-francisco,30600.0,11034.8
71,arizmendi-bakery-san-francisco-2,21000.0,34791.1
72,zaytoon-mediterranean-wraps-san-francisco,21000.0,34791.1
73,lucca-ravioli-company-san-francisco,21000.0,34791.1
74,rockys-fry-bread-san-francisco,20700.0,38491.4
75,pizzeria-delfina-san-francisco,20700.0,38491.4
76,rheas-deli-and-market-san-francisco,20700.0,38491.4
77,mission-cheese-san-francisco,20700.0,38491.4
78,crepe-and-brioche-san-francisco,23200.0,13885.9
79,san-panchos-tacos-san-francisco,23200.0,13885.9
80,golden-city-inn-chinese-food-san-francisco,23200.0,13885.9
81,frisco-fried-san-francisco,23200.0,13885.9
82,jj-fish-and-chicken-san-francisco-2,23200.0,13885.9
83,el-azteca-taqueria-san-francisco,23200.0,13885.9
84,l-artisan-gourmet-parisian-macarons-san-francisco,23102.0,17990.7
85,tacos-rodriguez-san-francisco,23103.0,7686.22
86,speakeasy-ales-and-lagers-san-francisco,23103.0,7686.22
87,tacos-el-primo-san-francisco-2,23400.0,11104.0
88,smokin-warehouse-barbecue-san-francisco,23400.0,11104.0
89,b-and-j-1-4-lb-burgers-san-francisco,23400.0,11104.0
90,old-skool-cafe-san-francisco,61200.0,24461.6
91,radio-africa-and-kitchen-san-francisco,61200.0,24461.6
92,auntie-aprils-san-francisco,61200.0,24461.6
93,las-isletas-restaurant-san-francisco,61200.0,24461.6
94,golden-eagle-deli-and-grill-san-francisco,61200.0,24461.6
95,all-good-pizza-san-francisco,61200.0,24461.6
96,crown-burgers-san-francisco,61200.0,24461.6
97,soo-fong-san-francisco,61200.0,24461.6
98,tiffanys-cafe-san-francisco,61200.0,24461.6
99,lets-eat-bbq-and-more-san-francisco,23003.0,25860.3
100,wok-in-cafeteria-san-francisco,980900.0,241.11700000000002
101,jakes-place-san-francisco,980900.0,241.11700000000002
