"STATEFP10,C,2","COUNTYFP10,C,3","TRACTCE10,C,6","BLOCKCE10,C,4","GEOID10,C,15","NAME10,C,10","MTFCC10,C,5","UR10,C,1","UACE10,C,5","FUNCSTAT10,C,1","ALAND10,N,14,0","AWATER10,N,14,0","INTPTLAT10,C,11","INTPTLON10,C,12"
06,075,021300,2002,060750213002002,Block 2002,G5040,,,S,16958,0,+37.7500665,-122.4410751
06,075,021300,2000,060750213002000,Block 2000,G5040,,,S,16823,0,+37.7501958,-122.4389330
06,075,020500,3004,060750205003004,Block 3004,G5040,,,S,17020,0,+37.7567937,-122.4362701
06,075,021200,1003,060750212001003,Block 1003,G5040,,,S,16415,0,+37.7535291,-122.4370498
06,075,021100,4001,060750211004001,Block 4001,G5040,,,S,17523,0,+37.7557580,-122.4334002
06,075,021100,4002,060750211004002,Block 4002,G5040,,,S,17336,0,+37.7549585,-122.4333237
06,075,021600,1005,060750216001005,Block 1005,G5040,,,S,39680,0,+37.7457689,-122.4326245
06,075,021700,2017,060750217002017,Block 2017,G5040,,,S,9233,0,+37.7349879,-122.4391125
06,075,021600,1012,060750216001012,Block 1012,G5040,,,S,17705,0,+37.7436326,-122.4344795
06,075,021700,3010,060750217003010,Block 3010,G5040,,,S,24417,0,+37.7391582,-122.4357830
06,075,021700,2001,060750217002001,Block 2001,G5040,,,S,6285,0,+37.7370698,-122.4354976
06,075,021700,3009,060750217003009,Block 3009,G5040,,,S,41269,0,+37.7374938,-122.4331210
06,075,021800,4008,060750218004008,Block 4008,G5040,,,S,4907,0,+37.7342585,-122.4343787
06,075,021800,4014,060750218004014,Block 4014,G5040,,,S,994,0,+37.7334292,-122.4319727
06,075,020600,2001,060750206002001,Block 2001,G5040,,,S,16087,0,+37.7576457,-122.4290889
06,075,022600,1019,060750226001019,Block 1019,G5040,,,S,1398,0,+37.7624061,-122.3887032
06,075,980900,1016,060759809001016,Block 1016,G5040,,,S,16877,0,+37.7511721,-122.3928439
06,075,061400,2015,060750614002015,Block 2015,G5040,,,S,4463,0,+37.7535196,-122.3915228
06,075,980900,1036,060759809001036,Block 1036,G5040,,,S,1573,0,+37.7483549,-122.3873979
06,075,980900,1115,060759809001115,Block 1115,G5040,,,S,17105,0,+37.7444584,-122.3885564
06,075,980900,1128,060759809001128,Block 1128,G5040,,,S,16354,0,+37.7396585,-122.3901108
06,075,023200,3002,060750232003002,Block 3002,G5040,,,S,13464,0,+37.7324004,-122.3906022
06,075,025100,2012,060750251002012,Block 2012,G5040,,,S,4465,0,+37.7415432,-122.4099961
06,075,023102,2006,060750231022006,Block 2006,G5040,,,S,17584,0,+37.7333181,-122.3872640
06,075,023102,1012,060750231021012,Block 1012,G5040,,,S,16827,0,+37.7343270,-122.3852597
06,075,021500,1009,060750215001009,Block 1009,G5040,,,S,833,0,+37.7467677,-122.4223465
06,075,021500,3001,060750215003001,Block 3001,G5040,,,S,1129,0,+37.7434352,-122.4243478
06,075,021500,2002,060750215002002,Block 2002,G5040,,,S,1089,0,+37.7458366,-122.4245774
06,075,021500,1007,060750215001007,Block 1007,G5040,,,S,1131,0,+37.7466378,-122.4246511
06,075,045100,1000,060750451001000,Block 1000,G5040,,,S,1338,0,+37.7812380,-122.4594491
06,075,015700,1000,060750157001000,Block 1000,G5040,,,S,2762,0,+37.7826300,-122.4444339
06,075,015500,2005,060750155002005,Block 2005,G5040,,,S,5328,0,+37.7846721,-122.4342561
06,075,015900,2004,060750159002004,Block 2004,G5040,,,S,1405,0,+37.7841487,-122.4337315
06,075,015900,2001,060750159002001,Block 2001,G5040,,,S,1554,0,+37.7843580,-122.4320479
06,075,015801,1000,060750158011000,Block 1000,G5040,,,S,4673,0,+37.7839198,-122.4362286
06,075,015900,1006,060750159001006,Block 1006,G5040,,,S,1363,0,+37.7821050,-122.4307034
06,075,022600,1030,060750226001030,Block 1030,G5040,,,S,53613,0,+37.7574241,-122.3846405
06,075,012501,2003,060750125012003,Block 2003,G5040,,,S,15417,0,+37.7837774,-122.4100269
06,075,026404,2000,060750264042000,Block 2000,G5040,,,S,14976,0,+37.7100390,-122.4121489
06,075,011902,2000,060750119022000,Block 2000,G5040,,,S,7924,0,+37.7917197,-122.4078527
06,075,035400,1008,060750354001008,Block 1008,G5040,,,S,0,557642,+37.7418940,-122.5112325
06,075,025403,2013,060750254032013,Block 2013,G5040,,,S,63667,0,+37.7329297,-122.4216459
06,075,060100,1086,060750601001086,Block 1086,G5040,,,S,13308,0,+37.8004646,-122.4655899
06,075,031302,3004,060750313023004,Block 3004,G5040,,,S,15682,0,+37.7133816,-122.4666376
06,075,031302,3003,060750313023003,Block 3003,G5040,,,S,15632,0,+37.7133936,-122.4657388
06,075,031302,3030,060750313023030,Block 3030,G5040,,,S,5987,0,+37.7112768,-122.4711606
06,075,026100,1004,060750261001004,Block 1004,G5040,,,S,22874,0,+37.7227407,-122.4386635
06,075,026100,2007,060750261002007,Block 2007,G5040,,,S,12973,0,+37.7178872,-122.4438306
06,075,023001,2005,060750230012005,Block 2005,G5040,,,S,14857,0,+37.7343181,-122.4004866
06,075,980900,1077,060759809001077,Block 1077,G5040,,,S,10304,0,+37.7438298,-122.3972968
06,075,980900,1079,060759809001079,Block 1079,G5040,,,S,10694,0,+37.7430833,-122.3979490
06,075,031201,1000,060750312011000,Block 1000,G5040,,,S,3036,0,+37.7229799,-122.4506416
06,075,061200,2007,060750612002007,Block 2007,G5040,,,S,3866,0,+37.7373914,-122.3956751
06,075,061200,2004,060750612002004,Block 2004,G5040,,,S,17387,0,+37.7365068,-122.3928693
06,075,061500,5010,060750615005010,Block 5010,G5040,,,S,26681,0,+37.7803499,-122.3923761
06,075,060700,1024,060750607001024,Block 1024,G5040,,,S,141493,0,+37.7681027,-122.3871933
06,075,060700,3003,060750607003003,Block 3003,G5040,,,S,19925,0,+37.7786612,-122.3902749
06,075,022600,1005,060750226001005,Block 1005,G5040,,,S,22372,0,+37.7656447,-122.3884819
06,075,022600,1006,060750226001006,Block 1006,G5040,,,S,2728,0,+37.7656052,-122.3889754
06,075,022600,1014,060750226001014,Block 1014,G5040,,,S,11109,0,+37.7634874,-122.3921660
06,075,023200,1007,060750232001007,Block 1007,G5040,,,S,934,0,+37.7296667,-122.3924905
