,id,rating
0,kare-ken-san-francisco,4.0
1,farm-table-san-francisco,4.0
2,pearls-deluxe-burgers-san-francisco-3,4.0
3,mortys-delicatessen-san-francisco,4.0
4,saigon-sandwich-san-francisco,4.5
5,elmira-rosticceria-san-francisco,4.5
6,sweet-woodruff-san-francisco,4.0
7,bite-san-francisco,4.5
8,dotties-true-blue-cafe-san-francisco,4.0
9,brendas-french-soul-food-san-francisco,4.0
10,de-afghanan-kabob-house-san-francisco-2,4.5
11,fresh-brew-coffee-san-francisco,4.5
12,hopwater-distribution-san-francisco,4.5
13,tommys-joynt-san-francisco,4.0
14,beanstalk-cafe-san-francisco-2,4.5
15,box-kitchen-san-francisco,4.0
16,tony-baloneys-san-francisco,4.5
17,super-duper-burgers-san-francisco-6,4.0
18,super-duper-burgers-san-francisco-3,4.0
19,deli-board-san-francisco,4.5
20,firefly-san-francisco,4.0
21,pasta-gina-san-francisco,4.5
22,diamond-cafe-san-francisco,4.5
23,peasant-pies-san-francisco-3,4.0
24,subs-inc-san-francisco,4.0
25,griddle-fresh-san-francisco,4.5
26,choice-yakiniku-san-francisco,4.0
27,saru-sushi-bar-san-francisco,4.5
28,lovejoys-tea-room-san-francisco,4.5
29,anchor-oyster-bar-san-francisco,4.5
30,fable-san-francisco,4.0
31,mama-jis-san-francisco-2,4.0
32,marcellos-pizza-san-francisco,4.0
33,noeteca-san-francisco,4.5
34,frances-san-francisco,4.5
35,tower-burger-san-francisco,4.0
36,pops-sandwich-shop-san-francisco,4.0
37,arizmendi-bakery-san-francisco-2,4.0
38,rockys-fry-bread-san-francisco,4.5
39,super-duper-burgers-san-francisco-4,4.0
40,crepe-and-brioche-san-francisco,4.0
41,san-panchos-tacos-san-francisco,5.0
42,l-artisan-gourmet-parisian-macarons-san-francisco,4.5
43,tacos-rodriguez-san-francisco,4.0
44,speakeasy-ales-and-lagers-san-francisco,4.5
45,tacos-el-primo-san-francisco-2,4.5
46,smokin-warehouse-barbecue-san-francisco,4.0
47,old-skool-cafe-san-francisco,4.5
48,golden-city-inn-chinese-food-san-francisco,4.0
49,lets-eat-bbq-and-more-san-francisco,4.0
50,frisco-fried-san-francisco,4.0
51,jj-fish-and-chicken-san-francisco-2,4.0
52,el-azteca-taqueria-san-francisco,3.5
53,radio-africa-and-kitchen-san-francisco,4.0
54,auntie-aprils-san-francisco,4.0
55,las-isletas-restaurant-san-francisco,3.0
56,golden-eagle-deli-and-grill-san-francisco,4.5
57,all-good-pizza-san-francisco,4.5
58,wok-in-cafeteria-san-francisco,4.0
59,limón-rotisserie-san-francisco-5,4.0
60,grandmas-deli-and-cafe-san-francisco,4.5
61,teds-market-and-delicatessen-san-francisco,4.5
62,big-chef-toms-belly-burgers-san-francisco,4.0
63,little-griddle-san-francisco,4.0
64,crepes-a-go-go-san-francisco-2,4.5
65,v-105-san-francisco,4.5
66,azucar-lounge-san-francisco-4,4.5
67,straw-san-francisco,4.0
68,sushi-zone-san-francisco,4.0
69,mission-public-san-francisco,4.5
70,citizens-band-san-francisco,4.0
71,dragoneats-san-francisco,4.0
72,souvla-san-francisco,4.0
73,ak-subs-san-francisco,4.0
74,suppenküche-san-francisco-2,4.0
76,flying-pig-bistro-san-francisco,4.0
78,mission-beach-cafe-san-francisco-4,4.0
79,so-san-francisco-4,4.0
80,cowgirl-creamery-san-francisco,4.5
81,hog-island-oyster-co-san-francisco,4.5
82,primavera-san-francisco,4.5
83,4505-meats-san-francisco-7,4.0
84,roli-roti-gourmet-rotisserie-san-francisco,4.5
85,boccalone-san-francisco-2,4.0
86,oasis-grill-san-francisco,4.0
87,blue-hawaii-açaí-café-san-francisco-2,4.5
88,cafe-algiers-san-francisco,4.5
89,johns-snack-and-deli-san-francisco,4.0
90,chez-fayala-san-francisco,4.0
91,yo-yos-san-francisco,4.0
92,cafe-me-san-francisco-2,4.5
93,jackson-place-cafe-san-francisco,4.5
94,la-fusión-san-francisco-2,4.5
95,good-luck-cafe-and-deli-san-francisco,4.5
96,the-sentinel-san-francisco,4.0
97,muraccis-japanese-curry-and-grill-san-francisco,4.0
98,sushirrito-san-francisco-4,4.0
99,naked-lunch-san-francisco,4.0
100,volcano-san-francisco,4.0
101,chomp-n-swig-san-francisco,4.5
102,hot-sauce-and-panko-san-francisco,4.5
103,gaspares-pizza-house-and-italian-restaurant-san-francisco,4.0
104,lous-cafe-san-francisco,4.5
105,cafe-la-flore-san-francisco-3,4.5
106,firehouse-pizzeria-san-francisco,4.0
107,first-korean-market-san-francisco,4.5
108,gordo-taqueria-san-francisco-2,4.0
109,boudin-bakery-san-francisco-6,4.0
110,pizzetta-211-san-francisco,4.5
111,shimo-san-francisco,4.0
112,grindz-san-francisco,4.0
113,daigo-sushi-san-francisco,4.0
114,halu-san-francisco,4.0
115,king-of-thai-noodle-house-san-francisco-4,3.5
116,the-richmond-san-francisco,4.5
117,little-vietnam-cafe-san-francisco,4.0
118,tekka-japanese-restaurant-san-francisco,4.0
119,cafe-bunn-mi-san-francisco,4.0
140,eden-plaza-cafe-san-francisco,4.0
141,the-american-grilled-cheese-kitchen-san-francisco,4.0
142,creperie-saint-germain-san-francisco-12,4.0
143,garaje-san-francisco,4.5
144,cafe-du-soleil-san-francisco-4,4.5
145,crossroads-cafe-san-francisco-7,4.0
146,hrd-coffee-shop-san-francisco-2,4.5
147,señor-sisig-san-francisco-3,4.0
148,darwin-cafe-san-francisco,4.0
150,farmerbrowns-little-skillet-san-francisco,4.0
152,marlowe-san-francisco-2,4.0
153,freshroll-vietnamese-rolls-and-bowls-san-francisco,4.0
155,crazy-crabz-san-francisco,4.5
160,tortas-los-picudos-san-francisco,4.5
161,taqueria-vallarta-san-francisco,4.0
162,la-palma-mexicatessen-san-francisco,4.5
163,el-metate-san-francisco,4.0
164,mission-pie-san-francisco,4.0
165,prubechu-san-francisco,4.5
166,el-farolito-san-francisco-2,4.5
167,stuffed-san-francisco,4.5
168,hillside-supper-club-san-francisco-2,4.0
169,paprika-san-francisco,4.5
170,phat-philly-san-francisco,4.0
171,los-shucos-san-francisco,4.5
172,the-american-grilled-cheese-kitchen-san-francisco-3,4.0
174,atlas-cafe-san-francisco,4.0
