,0
140115971,4.225
146014212,4.275
140044972,4.225
140017678,4.2
140083215,4.125
140115987,4.15
140017684,4.2
146025134,4.175
146014234,4.15
140116004,4.275
140083237,4.15
140017703,4.225
140050474,4.15
140083243,4.25
140050480,4.2
146014262,4.225
140017725,4.15
140050496,4.225
140081463,4.225
140017731,4.175
146014278,4.275
140083271,4.225
146014284,4.225
140116048,4.2
146014290,4.275
140116054,4.225
140094137,4.225
140017753,4.05
146014303,4.2
140050537,4.225
140083306,4.175
140116076,4.275
140017775,4.225
140083312,4.05
140116082,4.125
140017781,4.125
140050452,4.125
146014331,4.225
140006762,4.225
140083328,4.225
140116098,4.2
140050565,4.175
140083334,4.175
140017800,4.2
140050571,4.2
140083340,4.275
146014353,4.3
140050587,4.2
140050593,4.2
140083362,4.2
140017838,4.125
140116145,4.075
140017844,4.075
140083384,4.2
140017850,4.2
146014397,4.175
140083390,4.225
146014400,4.25
140110539,4.2
140017866,4.125
140083403,4.25
140017872,4.05
146014422,4.225
140114202,4.2
140116189,4.175
140017888,4.225
140083425,4.2
140017894,4.175
146014444,4.225
140116208,4.175
146014450,4.25
140077779,4.175
140116214,4.3
140050684,4.15
140006784,4.175
140050690,4.15
140072321,4.25
146014472,4.225
140017929,4.225
140116236,4.15
140083469,4.2
140017935,4.175
140116242,4.225
140083475,4.225
146014488,4.225
140083481,4.225
140050719,4.225
146014256,4.15
140116258,4.2
140017957,4.225
140083497,4.125
140050731,4.225
140083500,4.225
140116270,4.25
146014513,4.225
140017979,4.225
140116286,4.075
140017985,4.125
140116292,4.225
140017991,4.225
146014541,4.275
140050769,4.075
140018002,4.15
140050775,4.2
140050781,4.275
140083550,4.25
140018018,4.225
146014563,4.225
140039569,4.25
140018024,4.175
140110567,4.2
140050797,4.25
140083566,4.2
146014579,4.15
140083572,4.075
146014585,4.2
140066879,4.125
140018046,4.1
140050816,4.225
140083588,4.05
140050822,3.675
140083594,4.2
140072343,4.175
140018068,4.15
140050838,4.15
140018074,4.2
140050844,4.225
140083613,4.15
140018080,4.175
140050850,4.15
146019739,4.275
140083629,4.2
140050866,4.075
140083635,4.3
140050872,4.15
140018109,4.225
140018115,4.175
140050888,4.025
140018121,4.15
140050894,4.35
140052016,4.2
140050907,4.075
140083679,4.225
140050913,4.25
140083685,4.15
140018159,4.2
140050929,4.15
140116468,4.15
140083704,4.275
140116474,4.2
140018171,4.175
140050941,4.2
140083710,4.175
140116480,4.25
140023211,4.15
140018187,4.25
140050957,4.2
140083726,4.25
140072365,4.2
140116496,4.175
140050963,4.35
140083732,4.225
140050521,4.25
140018206,4.2
140050979,4.075
140083748,4.15
140103302,4.175
146014767,4.2
140083760,4.225
140018228,4.15
146014773,4.15
146025225,4.15
140083776,4.225
146014789,4.05
140083782,4.1
140051018,4.2
146014795,4.125
140116559,4.2
140051024,4.225
140116565,4.225
